Address,City,NumberOfBaths,NumberOfBeds,Price,SqFt,ZipCode
"7365 Fieldgate Dr, Dallas, TX 75230",Dallas,4,4,979650,4003,75230
"3025 Bryan St Unit 1F, Dallas, TX 75204",Dallas,1.5,1,214000,933,75204
"4349 Southern Ave, Highland Park, TX 75205",Highland Park,3.5,4,1895000,3973,75205
"1807 Wonderlight Ln, Dallas, TX 75228",Dallas,2.5,3,329000,2552,75228
"5214 Gulfport Dr, Rowlett, TX 75088",Rowlett,3,4,415000,3276,75088
"7029 Panavision Trl, Dallas, TX 75249",Dallas,2,3,289900,1861,75249
"5726 Vanderbilt Ave, Dallas, TX 75206",Dallas,2,3,675000,1678,75206
"3015 Plaudit Pl, Dallas, TX 75229",Dallas,2.5,4,419000,2333,75229
"4444 Potomac Ave, University Park, TX 75205",University Park,5.5,5,2399000,4699,75205
"9919 Hickory Xing, Dallas, TX 75243",Dallas,3,4,625000,3068,75243
"9512 Valley Lake Ln, Irving, TX 75063",Irving,2.5,4,460000,2539,75063
"13624 Brookgreen Dr, Dallas, TX 75240",Dallas,2,2,212000,1000,75240
"3232 Dothan Ln, Dallas, TX 75229",Dallas,2,4,475000,2213,75229
"6116 Sudbury Dr, Dallas, TX 75214",Dallas,2,3,589000,1751,75214
"7128 Casa Loma Ave, Dallas, TX 75214",Dallas,3,3,750000,2247,75214
"5818 Morningside Ave, Dallas, TX 75206",Dallas,2.5,3,780000,2250,75206
"2827 Waskom St, Dallas, TX 75228",Dallas,1,2,180000,886,75228
"9735 Trevor Dr, Dallas, TX 75243",Dallas,2.5,4,449950,2953,75243
"9938 Kilarney Dr, Dallas, TX 75218",Dallas,2.5,3,774900,2120,75218
"6022 Lewis Ave #102, Dallas, TX 75206",Dallas,2.5,2,409000,1385,75206
"1716 W Brooklyn Ave, Dallas, TX 75208",Dallas,2,3,329000,1118,75208
"1431 Waterside Dr, Dallas, TX 75218",Dallas,3.5,4,899900,3774,75218
"8173 Whitney Ln, Fort Worth, TX 76120",Fort Worth,2,3,250000,1591,76120
"500 Freedom Way, Crowley, TX 76036",Crowley,2.5,4,279000,2731,76036
"4813 Hildring Dr E, Fort Worth, TX 76109",Fort Worth,2,3,369500,1941,76109
"2600 Ensenada Ln, Fort Worth, TX 76108",Fort Worth,2,3,299900,2038,76108
"2944 Whitetail Chase Dr, Fort Worth, TX 76108",Fort Worth,2.5,3,299900,2578,76108
"7904 Caldelana Way, Fort Worth, TX 76131",Fort Worth,2,3,308000,2087,76131
"9913 Rolling Hills Dr, Fort Worth, TX 76126",Fort Worth,2,3,297000,1813,76126
"9808 Stoney Bridge Rd, Fort Worth, TX 76108",Fort Worth,2.5,4,280000,2690,76108
"6045 Shiner Dr, Fort Worth, TX 76179",Fort Worth,2,3,299000,2122,76179
"4141 Heritage Way Dr, Fort Worth, TX 76137",Fort Worth,2,4,270000,2154,76137
"1409 Terminal Rd, Fort Worth, TX 76106",Fort Worth,1,2,160000,1308,76106
"8300 Redonda St, White Settlement, TX 76108",White Settlement,1,3,199000,1100,76108
"4648 Matthew Dr, Fort Worth, TX 76244",Fort Worth,3.5,5,375000,3414,76244
"6949 Valhalla Rd, Fort Worth, TX 76116",Fort Worth,2,3,275000,1516,76116
"1020 Hickory Bend Ln, Fort Worth, TX 76108",Fort Worth,3,3,325000,2624,76108
"5909 Black Bass Dr, Fort Worth, TX 76179",Fort Worth,2.5,4,320000,2821,76179
"2237 Sims Dr, Fort Worth, TX 76119",Fort Worth,2,3,230000,1816,76119
"3224 Crofton Dr, Fort Worth, TX 76137",Fort Worth,2,3,259000,1763,76137
"10616 Lipan Trl, Fort Worth, TX 76108",Fort Worth,2,3,249900,1991,76108
"7920 Tree Leaf Ln, Fort Worth, TX 76123",Fort Worth,2,3,260000,1808,76123
"4313 Old Grove Way, Fort Worth, TX 76244",Fort Worth,2,4,355000,1984,76244
"6912 Windwood Trl, Fort Worth, TX 76132",Fort Worth,2,3,275000,1951,76132
"12636 Mourning Dove Ln, Fort Worth, TX 76244",Fort Worth,3,5,350000,3427,76244
"6325 Stone Lake Ct, Fort Worth, TX 76179",Fort Worth,2,3,235000,1350,76179
"5620 The Resort Blvd, Fort Worth, TX 76179",Fort Worth,3.5,5,600000,3718,76179
"3752 Summersville Ln, Fort Worth, TX 76244",Fort Worth,2.5,3,310000,2015,76244
"9720 Jericho Ln, Fort Worth, TX 76108",Fort Worth,2.5,4,274900,2405,76108
"8844 Tigris Trl, Fort Worth, TX 76118",Fort Worth,2,3,230000,1335,76118
"4616 Byers Ave, Fort Worth, TX 76107",Fort Worth,2,3,329500,1966,76107
"1036 Twisting Ridge Ter, Fort Worth, TX 76052",Fort Worth,2,3,360000,1992,76052
